Project Name,Link,Flat Type,Price,Area,Area Type,Price per Sqft,Location,Highlights,Description,Property ID,Address,Society,Rating,Furnishing,Facilities,Nearby,Bedrooms,Bathrooms,Balcony,Additional Rooms,Floor Number,Property Age/Possession,Facing
White Meadows,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-white-meadows-rajpur-southern-bypass-kolkata-south-749-sq-ft-spid-B80998751,2 BHK Flat,₹32 Lac,749 sqft,Super Built-up Area,"₹4,272 /sqft","Rajpur, Southern Bypass",,"We are the proud owners of this 2 bhk apartment available in white meadows, rajpur, kolkata south. This it is a and the unit is located on 2nd floor and has a super built-Up area of 749 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.",B80998751,"White Meadows, Rajpur, Southern Bypass",White Meadows,,[],[],[],2 Bedrooms,2 Bathrooms,1 Balcony,,2nd   of 4 Floors,1 to 5 Year Old,
Pacific Avenue,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pacific-avenue-boral-kolkata-south-863-sq-ft-r4-spid-E40171565,2 BHK Flat,₹28 Lac,863 sqft,Super Built-up Area,"₹3,244 /sqft","Boral, Kolkata",,Residential apartment for sell. The property has 2 bedrooms with 2 bathrooms and 1 balcony. It is an unfurnished property. Located in boral. Available at an expected price of rs 28 lacs. Located on 3rd floor out of the 3. The property comes with a good construction quality which ages 5-10 years old property.,E40171565,"Pacific Avenue, Boral, Kolkata",Pacific Avenue,,[],"['Water Storage', 'Visitor Parking']","['Brahmapur Badamtala Jame Masjid', 'Gosto Mandir', 'Sitala mandir', 'Sree Guru Sangha Main Gate', 'Hindustan Health Point Pvt Ltd']",2 Bedrooms,2 Bathrooms,1 Balcony,,3rd   of 3 Floors,5 to 10 Year Old,South-West
Hari Om Dham Complex,https://www.99acres.com/6-bhk-bedroom-apartment-flat-for-sale-in-shreebhumi-kolkata-north-2640-sq-ft-spid-K82189058,6 BHK Flat,₹1.6 Cr,"2,640 sqft",Carpet Area,"₹6,060 /sqft","Shreebhumi, Kolkata","Private Garden
Overlooking Park/Garden
+1","Residential apartment This is your chance to a 6 bhk apartment / flat for sale in shreebhumi kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 6 bedroom apartment with 4 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has...",K82189058,"Hari Om Dham Complex, Shreebhumi, Kolkata",,,"['5 Bed', '16 Wardrobe', '5 Fan', '1 Sofa', '4 Geyser', '10 Light', '6 AC', '1 TV', '1 Modular Kitchen', '1 Chimney']","['Private Garden / Terrace', 'Lift(s)', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']","['City centre metro station', 'City Centre 1', 'The Church of Jesus Christ of Latter-day Saints', 'State bank of india ATM', 'Icici bank ATM']",6 Bedrooms,4 Bathrooms,2 Balconies,,3rd   of 5 Floors,5 to 10 Year Old,
Magnolia Merlion,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-magnolia-merlion-rajarhat-kolkata-east-965-sq-ft-spid-B81274017,2 BHK Flat,₹57 Lac,965 sqft,Super Built-up Area,"₹9,693 /sqft","Rajarhat, Kolkata",,"2bhk flat for sale in magnolia merlion, rajarhat, kolkata Property details: Location: Tower 5, 3rd floor, flat b, magnolia merlion, bishnupur road, rajarhat, kolkata Carpet area: 588 sq. Ft. Built-Up area: 653 sq. Ft. Balcony area: 33 sq. Ft. Saleable area: 965 sq. Ft. West facing Features: Unfurnished, but freshly painted 4 ceiling fans installed 2 exhaust fans 5 tubelights (1 rechargeable) Ma...",B81274017,"Magnolia Merlion, Rajarhat, Kolkata",Magnolia Merlion,,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Jatragachi Metro Station', 'Centrus Mall', 'Major Arterial Road', 'Teghoria Primary School', 'Aliah University', 'Ohio Hospital']",2 Bedrooms,2 Bathrooms,1 Balcony,,3rd   of 12 Floors,0 to 1 Year Old,West
Rangit Residency,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rangit-residency-madhyamgram-kolkata-north-1498-sq-ft-r1-spid-I78145995,3 BHK Flat,₹50 Lac,"1,498 sqft",Built-up Area,"₹4,000 /sqft","Madhyamgram, Kolkata","North Facing
Gated Society","One of the well-Known housing socity at madhamgram, north kolkata. This property is on the main road, happening location. Bus stand for entire kolkata is just in 50 mts, kolkata international airport 6.5km, railway station is within one km, auto-Taxi stand is just below the apartment, medical shops and hospital within 100 mts, plenty of shops-Restaurants within the building. There are 2 banks a...",I78145995,"Rangit Residency, Madhyamgram, Kolkata",,,"['1 Bed', '1 Wardrobe', '3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '10 Light']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Waste Disposal', 'Club house / Community Center']","['Hari Mandir', 'Church of our Lady of Lourdes', 'MAA MONOSHA TEMPLE', 'Shri Shoni Temple', 'SHONI TEMPLE', 'Amanati Mosque']",3 Bedrooms,2 Bathrooms,3 Balconies,,5th   of 5 Floors,10+ Year Old,North
Suresh Apartments,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-east-rajapur-kolkata-south-999-sq-ft-spid-W82239172,2 BHK Flat,₹50 Lac,999 sqft,Super Built-up Area,"₹5,005 /sqft","East Rajapur, Santoshpur",,"We are the proud owners of this 2 bhk apartment available in suresh apartments in east rajapur, santoshpur, survey park, kolkata south. This it is a standalone unit and the apartment is located on 1st floor and has a super built-Up area of 999 sq.Ft. It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type. Residential apartment This is your chance to a 2 bhk apartment / flat for s...",W82239172,"Suresh Apartments, East Rajapur, Santoshpur",,,[],"['Security / Fire Alarm', 'Lift(s)']","['Lake Pally Shiv Mandir', 'Viveknagar Kalibari', 'Sri Sri 108 Doyal Baba Asram', 'Hanuman Mandir', 'Kali Mandir', 'Shitala Mandir']",2 Bedrooms,2 Bathrooms,1 Balcony,,1st   of 5 Floors,10+ Year Old,
Bengal Shelter Sisirkunja,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bengal-shelter-sisirkunja-madhyamgram-kolkata-north-1310-sq-ft-spid-X79250395,4 BHK Flat,₹58 Lac,"1,310 sqft",Super Built-up Area,"₹5,043 /sqft","Madhyamgram, Kolkata","Top Floor
Recently Renovated","Residential apartment This is your chance to a 4 bhk apartment / flat for sale in bengal shelter sisirkunja madhyamgram kolkata . Where luxury comes with affordability. A premium category semi-Furnished 4 bhk flat with interior designing is available for sale in sisirkunja. Bengal shelter sisirkunja is one of kolkata north's most sought after destination for apartments. Swarnarag, ready to move...",X79250395,"Bengal Shelter Sisirkunja, Madhyamgram, Kolkata",Bengal Shelter Sisirkunja,,"['1 Water Purifier', '8 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '10 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '1 Sofa']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']","['Noapara Station', 'Star Mall', 'NH12', 'Brainware University', 'Mount Zion School', 'Narayana Hospital', 'Netaji Subhash Chandra Bose Airport']",4 Bedrooms,2 Bathrooms,2 Balconies,Study Room,7th   of 7 Floors,5 to 10 Year Old,South
Siddha Town,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-siddha-town-madhyamgram-kolkata-north-1390-sq-ft-spid-S83335094,3 BHK Flat,₹68 Lac,"1,390 sqft",Super Built-up Area,"₹4,892 /sqft","Madhyamgram, Kolkata",East Facing,"The property is a corner flat and vastu compliant with main door facing east and balcony in the west direction, the bedrooms are south facing providing good air flow inside the rooms. The flat is 1260 sq. Ft. With covered garage of 130 sq. Ft. In siddha town, madhyamgram, located opp. Apc college (New barrackpore). The interior of the flat is completely new and it is semi furnished flat with cl...",S83335094,"Siddha Town, Madhyamgram, Kolkata",Siddha Town,,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']","['Boardghar Market', 'Kalyan Market', 'APC College', 'Sripur High School', 'Apollo DC FMCG', 'NSCB International Airport']",3 Bedrooms,2 Bathrooms,1 Balcony,"Pooja Room,Study Room",1st   of 4 Floors,1 to 5 Year Old,East
ria manhari ananya,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-east-kodalia-kolkata-north-913-sq-ft-spid-B82664168,2 BHK Flat,₹45 Lac,913 sqft,Super Built-up Area,"₹4,928 /sqft","East Kodalia, New Barrakpur, Kolkata",,"We are the proud owners of this 2 bhk apartment available in ria manhari ananya, east kodalia, kolkata north. This it is a and the unit is located on 4th floor and has a super built-Up area of 913 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.",B82664168,"ria manhari ananya, East Kodalia, New Barrakpur, Kolkata",,,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","['New Barrackpur Nursing Home Nursing home', 'Mother Nursing Home', 'Bengal Neuro Institute Hospital', 'Dr. B.C Roy General Hospital and Maternity Home']",2 Bedrooms,2 Bathrooms,1 Balcony,,4th   of 4 Floors,1 to 5 Year Old,West
jai matadi korunamoyee,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nitai-nagar-kolkata-south-1620-sq-ft-spid-R81063171,2 BHK Flat,₹62 Lac,"1,620 sqft",Super Built-up Area,"₹4,320 /sqft","Nitai Nagar, Mukundapur",,"Spacious flat near e m byepass & metro rly station Address: Nitainagar, mukundapur Residential apartment- An exceptional opportunity to own a luxurious yet affordable apartment in nitai nagar, mukundapur. Where luxury comes with affordability. Very close (4 buildings away) to renowned school such as birla high school, pathology centre is opposite to the apartment, 4 large popular private hospit...",R81063171,"jai matadi korunamoyee, Nitai Nagar, Mukundapur",,,"['7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '9 Light', '2 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Feng Shui / Vaastu Compliant', 'Water Storage']",[],2 Bedrooms,2 Bathrooms,1 Balcony,,2nd   of 4 Floors,10+ Year Old,South-East
Rishi Ecoview,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rishi-ecoview-new-town-kolkata-east-1643-sq-ft-r1-spid-J76388477,3 BHK Flat,₹1.4 Cr,"1,643 sqft",Super Built-up Area,"₹9,129 /sqft","New Town, Kolkata",,"A perfect fusion of beauty and elegance, this splendid 3.5bhk flat nestled in action area 2, kolkata is worth considering. Every inch of this abode is efficiently and generously designed to give you more comfort and convenience. Property specifications Measuring a super built area of 1643 sq ft, this flat is positioned on the top floor of a 7 storied building and is well designed to welcome fre...",J76388477,"Rishi Ecoview, New Town, Kolkata",Rishi Ecoview,,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '9 Light', '3 AC', '1 TV', '1 Curtains', '3 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Salt Lake Sector V', 'Axis Mall', 'Delhi Public School Megacity', 'Techno International New Town', 'Ohio Hospital and Medical Centre']",3 Bedrooms,3 Bathrooms,1 Balcony,Servant Room,7th   of 7 Floors,1 to 5 Year Old,West
RDB Regent City,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rdb-regent-city-rajarhat-kolkata-east-1427-sq-ft-r1-spid-U78015945,3 BHK Flat,₹55 Lac,"1,427 sqft",Super Built-up Area,"₹3,644 /sqft","Rajarhat, Kolkata",,"Situated in rajarhat, kolkata east, rdb regent city is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in kolkata east is your opportunity to be a part of this community. The flat is over 1427 sq.Ft. Carpet area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. This flat is situated on the top floor of this 4 floors tall residential buildi...",U78015945,"RDB Regent City, Rajarhat, Kolkata",RDB Regent City,,"['1 Bed', '1 Wardrobe', '6 Fan', '1 Geyser', '1 Stove', '6 Light', '1 Modular Kitchen', '1 Chimney']","['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Nathpara Shib Mandir', 'Nathpara Temple', 'Dakbunglow Shani Kali Mandir', 'Masjid', 'Hanuman Mandir', 'Krishna Mandir']",3 Bedrooms,2 Bathrooms,1 Balcony,Pooja Room,4th   of 4 Floors,10+ Year Old,
Gangotri apartment,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-howrah-1850-sq-ft-r2-spid-K48887507,3 BHK Flat,₹88 Lac,"1,850 sqft",Carpet Area,"₹5,405 /sqft","Dobson Road Ganges, Howrah",,"Looking for an apartment in the prime location of gangotri flat owner association, howrah, kolkata? With all amenities and facilities available for you and your family at a stone throw distance? Well! This apartment comes with the best features and provides you and your family comfort, luxury and levels up your class. Property configuration This residential apartment in gangotri flat owner asso...",K48887507,"Gangotri apartment, Dobson Road Ganges, Howrah, Kolkata",,,"['1 Wardrobe', '1 Fan']",[],[],3 Bedrooms,2 Bathrooms,No Balcony,Others,10th   of 10 Floors,10+ Year Old,
