Project Name,Link,Flat Type,Price,Area,Area Type,Price per Sqft,Location,Highlights,Description,Property ID,Address,Society,Rating,Furnishing,Facilities,Nearby,Overlooking,Bedrooms,Bathrooms,Balcony,Additional Rooms,Floor Number,Property Age/Possession,Facing
Swami Vivekananda Smriti Bhavan,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-chiriamore-kolkata-north-1700-sq-ft-spid-T80917779,4 BHK Flat,90 Lac,"1,700 sqft",Super Built-up Area,"5,294 /sqft","Chiriamore, BT Road",,"The property consists of 2 separate flats(Bigger one is 1150 sft) but unified(So 2 separate entrance, electric meters) in a very good colony-Safe, secured and peaceful, 3 minutes' walking from bt road - 2 kms from shyambazar, 1.8 kms from dumdum, 1.5 kms from ferry ghat. Howrah, sealdah, dalhousie all within 7 kms, airport -10 kms, dunlop-4 kms. Situated in ward no-1 of kmc, tullah water(Tds 90...",T80917779,"Swami Vivekananda Smriti Bhavan, Chiriamore, BT Road",,,"['2 Wardrobe', '7 Fan', '1 Exhaust Fan', '24 Light', '1 Curtains']","['Lift(s)', 'Water Storage']","['Dum dum metro station', 'Belgachia metro station', 'Hanuman Mandir', 'Lal Mandir', 'Lichubagan Radha Krishna Temple']",[],4 Bedrooms,3 Bathrooms,1 Balcony,"Study Room,Others",1st   of 4 Floors,10+ Year Old,South-East
Sun Hilla Tower,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-belur-howrah-654-sq-ft-spid-G81981056,2 BHK Flat,35 Lac,654 sqft,Built-up Area,"5,351 /sqft","Belur, Howrah","Fresh Construction
Club/ Community Center","Residential apartment This is your chance to a 2 bhk apartment / flat for sale in belur howrah . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ...",G81981056,"Sun Hilla Tower, Belur, Howrah",,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Airy Rooms', 'Spacious Interiors', 'Club house / Community Center']","['Tulsiram Lakshmi Devi Jaiswal Hospital', 'Eastern Railway Hospital', 'Satya Bala Devi ID Hospital', 'Swasti Nursing Home']",[],2 Bedrooms,2 Bathrooms,1 Balcony,,3rd   of 4 Floors,0 to 1 Year Old,
Godrej Se7en Retail,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-se7en-retail-joka-kolkata-south-860-sq-ft-spid-S81883800,2 BHK Flat,55 Lac,860 sqft,Super Built-up Area,"6,976 /sqft","Joka, Kolkata South",,"Residential apartment This is your chance to a 2 bhk apartment / flat for sale in godrej se7en retail joka kolkata south . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample n...",S81883800,"Godrej Se7en Retail, Joka, Kolkata South",,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Bharat Sevashram Sangha Hospital', 'Searight Hospital and Welfare Society', 'Gay-Land Nursing Home', 'Kasturi Medical Centre Pvt Ltd']","['Pool,Park/Garden,Club,Main Road,Others']",2 Bedrooms,2 Bathrooms,2 Balconies,,11st   of 13 Floors,0 to 1 Year Old,
Protik para,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-haridevpur-kolkata-south-950-sq-ft-spid-C83148052,2 BHK Flat,35 Lac,950 sqft,Super Built-up Area,"5,303 /sqft","Haridevpur, Putiary, Kolkata","Top Floor
Close to Metro Station
+2","North, south & east open. Balcony facing south and east",C83148052,"Protik para, Haridevpur, Putiary, Kolkata",,,[],"['Lift(s)', 'Water Storage']","['Netaji metro station', 'Mahanayak uttam kumar metro station', 'Gouria moth', 'Santoshi Maa Mandir', 'Dhali Para Masjid']",[],2 Bedrooms,2 Bathrooms,1 Balcony,,3rd   of 3 Floors,0 to 1 Year Old,West
Tower B,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-town-kolkata-east-1457-sq-ft-spid-Z82446954,3 BHK Flat,1.5 Cr,"1,457 sqft",Super Built-up Area,"10,295 /sqft","New Town, Kolkata","Top Floor
Gated Society
+2","Tower b is one of kolkata east's most sought after destination for apartments and this 3 bhk flat in new town is your opportunity to be a part of this community. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1457 sq.Ft. The residential building has 9 floors in total and the flat for sale is located on the top floor. This 1-5 years old pr...",Z82446954,"Tower B, New Town, Kolkata",,,"['2 Fan', '2 Light']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",[],[],3 Bedrooms,3 Bathrooms,2 Balconies,,9th   of 9 Floors,1 to 5 Year Old,
Godrej Se7en Retail,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-se7en-retail-joka-kolkata-south-515-sq-ft-spid-Q82224890,2 BHK Flat,52 Lac,515 sqft,Carpet Area,"10,097 /sqft","Joka, Kolkata South","North-East Facing
Close to Metro Station
+2","The property has open to sky car parking. The apartment is semi furnished with brand new (Unused) furniture and appliances namely: 2 wardrobe, 2 bed and side table, microwave, heater, fridge, 1 split ac, sofa and centre table.",Q82224890,"Godrej Se7en Retail, Joka, Kolkata South",,,"['1 Water Purifier', '1 Fridge', '1 Geyser', '1 Stove', '1 AC', '1 TV', '1 Chimney', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Bharat Sevashram Sangha Hospital', 'Searight Hospital and Welfare Society', 'Gay-Land Nursing Home', 'Kasturi Medical Centre Pvt Ltd']",['Park/Garden'],2 Bedrooms,2 Bathrooms,1 Balcony,,11st   of 12 Floors,0 to 1 Year Old,North-East
Sarojni Apartment,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kaikhali-kolkata-north-1223-sq-ft-spid-C80715423,3 BHK Flat,60 Lac,"1,223 sqft",Carpet Area,"4,905 /sqft","Kaikhali, VIP Road","Top Floor
Marble Flooring
+1",The flat condition is too good and full furnished.,C80715423,"Sarojni Apartment, Kaikhali, VIP Road",,,"['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Lift(s)', 'Maintenance Staff']","['Shitala Mandir', 'Mother Teresa Church', 'Lichubagan Radha Krishna Temple', 'Axis bank ATM', 'State bank of india ATM']",[],3 Bedrooms,2 Bathrooms,2 Balconies,,4th   of 4 Floors,5 to 10 Year Old,South-East
Fortune Township,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-fortune-township-barasat-north-kolkata-1101-sq-ft-spid-C79404365,3 BHK Flat,40 Lac,"1,101 sqft",Super Built-up Area,"3,633 /sqft","Barasat, Kolkata North","Top Floor
Gated Society
+2","Fortune township is one of the most popular destination for buying apartments/ flats in barasat, kolkata north. You too can be a part of this society by purchasing this 3 bhk flat here. This property faces the south-East direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1101 sq.Ft. The resident...",C79404365,"Fortune Township, Barasat, Kolkata North",Fortune Township,,"['2 Wardrobe', '2 Fan', '2 Light']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Fortune Plaza', 'Brainware University', 'Kazipara HES High School', 'Madrasa School', 'City Hospital', 'North 24 Parganas District Hospital']",[],3 Bedrooms,2 Bathrooms,2 Balconies,Store Room,4th   of 4 Floors,1 to 5 Year Old,South-East
"Khardah, Titagarh, Choudhury More",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-barrackpore-kolkata-north-840-sq-ft-spid-U82067322,2 BHK Flat,42 Lac,840 sqft,Built-up Area,"5,000 /sqft","Barrackpore, Kolkata","Gated Society
Overlooking Park/Garden
+2","Khardah is one of kolkata north's most sought after destination for apartments and this 2 bhk flat in barrackpore is your opportunity to be a part of this community. The flat occupies a built up area of 840 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 14 floors and this property is situated on 3rd floor. As the project is already ready to move, so you...",U82067322,"Khardah, Titagarh, Choudhury More, Barrackpore, Kolkata",,,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']","['Nonachandanpukur Municipal Market', 'Jaffarpur Chal Bazar', 'Axisbank ATM', 'Axis bank ATM', 'Sarada Seva Sadan']","['Club,Park/Garden,Pool']",2 Bedrooms,2 Bathrooms,2 Balconies,,3rd   of 14 Floors,1 to 5 Year Old,South-East
South City Residence 375,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-prince-anwar-shah-rd-kolkata-south-1458-sq-ft-spid-D82717072,3 BHK Flat,2.3 Cr,"1,458 sqft",Carpet Area,"15,775 /sqft","Prce Anwar Shah Rd, Kolkata",Furnished,"Price: Rs 2cr 30 lacs with 1 open garage Rs 2cr 35 lacs with 1 covered basement garage Rs 2cr 40 lacs with 2 garages Residential apartment This is your chance to a 3 bhk apartment / flat for sale in prince anwar shah rd kolkata . Where luxury comes with affordability. South city mall is nearby Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular ki...",D82717072,"South City Residence 375, Prce Anwar Shah Rd, Kolkata",,,"['1 Water Purifier', '4 Fan', '1 Fridge', '3 Geyser', '1 Stove', '11 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '3 Bed', '4 Wardrobe']","['Intercom Facility', 'Lift(s)', 'Water purifier', 'Swimming Pool', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']","['Viveknagar Kalibari', 'Nipponzan Myohoji Buddhist Temple', 'Sri Aurobindo Seva Kendra EEDF', 'RG Stone Urology And Laparoscopy Hospital Kolkata']",[],3 Bedrooms,2 Bathrooms,2 Balconies,Servant Room,19th   of 35 Floors,10+ Year Old,North-East
Siddha Waterfront,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-siddha-waterfront-khardah-kolkata-north-1175-sq-ft-r1-spid-G73903915,3 BHK Flat,55 Lac,"1,175 sqft",Super Built-up Area,"4,765 /sqft","Khardah, BT Road",,"Siddha waterfront is one of the most popular destination for buying apartments/ flats in khardah, kolkata north. You too can be a part of this society by purchasing this 3 bhk flat here. This is a north-East-Facing property. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1175 sq.Ft. The property is loc...",G73903915,"Siddha Waterfront, Khardah, BT Road",Siddha Waterfront,,[],"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park']","['Way to Baranagar Metro Station', 'Destination mall', 'Kalyani Expy', 'Kismat Bandipur F.P School', 'Swami Vivekananda University']","['Park/Garden,Club,Pool']",3 Bedrooms,2 Bathrooms,2 Balconies,,10th   of 14 Floors,1 to 5 Year Old,South-East
Bangur Avenue,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bangur-avenue-lake-town-kolkata-north-1850-sq-ft-spid-M83655134,4 BHK Flat,92.5 Lac,"1,850 sqft",Built-up Area,"5,000 /sqft","Lake Town, Kolkata",Furnished,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in bangur avenue lake town kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural ...",M83655134,"Bangur Avenue, Lake Town, Kolkata",,,"['4 Wardrobe', '6 Fan', '1 Sofa', '1 Dining Table', '3 Geyser', '15 Light', '5 AC']",[],"['The Church of Jesus Christ of Latter-day Saints', 'Hanuman Mandir', 'Sbi ATM', 'State bank of india ATM', 'Allahabad bank ATM']",[],4 Bedrooms,3 Bathrooms,2 Balconies,,4th   of 5 Floors,10+ Year Old,
rajwada lakebliss,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kamalgazi-kolkata-south-1185-sq-ft-spid-P81696926,3 BHK Flat,52 Lac,"1,185 sqft",Super Built-up Area,"4,388 /sqft","Kamalgazi, Southern Bypass",,3bhk ventilated apartment on 2nd floor in an inclusive society with lake view and south side open..New apartment. Ready for immediate possession. All facilities available in the society.,P81696926,"rajwada lakebliss, Kamalgazi, Southern Bypass",,,[],"['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Natural Light', 'Fitness Centre / GYM']","['Shahid khudiram metro station', 'Sitala mandir', 'Bikram mess kali mandir', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua']",['Others'],3 Bedrooms,2 Bathrooms,1 Balcony,,2nd   of 4 Floors,0 to 1 Year Old,South
Tirupati Apartment,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tirupati-apartment-bansdroni-kolkata-south-1700-sq-ft-spid-K82373974,4 BHK Flat,1 Cr,"1,700 sqft",Super Built-up Area,"5,882 /sqft","Bansdroni, Kolkata",,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in tirupati apartment bansdroni kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 1 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample nat...",K82373974,"Tirupati Apartment, Bansdroni, Kolkata",,,[],[],"['Kavi nazrul metro station', 'Sitala Temple', 'Sree Guru Sangha Main Gate', 'Sri Sri 108 Doyal Baba Asram', 'Brahmapur Badamtala Jame Masjid']",[],4 Bedrooms,3 Bathrooms,1 Balcony,,3rd   of 4 Floors,5 to 10 Year Old,
Rajkiran Apartment,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rajkiran-apartment-alipore-kolkata-south-1587-sq-ft-spid-W82003138,3 BHK Flat,1.5 Cr,"1,587 sqft",Carpet Area,"9,451 /sqft","Alipore, Kolkata",,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in rajkiran apartment alipore kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natur...",W82003138,"Rajkiran Apartment, Alipore, Kolkata",,,[],[],"['Kalighat metro station', 'Jatin das park metro station', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM']",[],3 Bedrooms,2 Bathrooms,1 Balcony,,4th   of 5 Floors,10+ Year Old,
Residential Flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-residential-flat-garia-kolkata-south-820-sq-ft-spid-R82341412,2 BHK Flat,50 Lac,820 sqft,Carpet Area,"6,097 /sqft","Garia, Kolkata",,"Just opposite shahid khudiram metro station (Less than one minute walk). Very near em bypass (Less than one minute walk). 2 bhk flat with dinning, kitchen, 2 bath rooms, 1 balcony. Flat completion certificate in 2021.",R82341412,"Residential Flat, Garia, Kolkata",,,[],"['Maintenance Staff', 'Water Storage', 'Visitor Parking']","['Shahid khudiram metro station', 'Kavi subhash metro station', 'Kavi nazrul metro station', 'Sitala mandir', 'Maa kali temple garia dhalua']",['Main Road'],2 Bedrooms,2 Bathrooms,1 Balcony,,2nd   of 4 Floors,1 to 5 Year Old,West
