Project Name,Link,Flat Type,Price,Area,Area Type,Price per Sqft,Location,Highlights,Description,Property ID,Address,Society,Rating,Furnishing,Facilities,Nearby,Overlooking,Bedrooms,Bathrooms,Balcony,Additional Rooms,Floor Number,Property Age/Possession,Facing
Unitech Gardens,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-gardens-new-town-kolkata-east-2185-sq-ft-spid-O82570756,3 BHK Flat,1.67 Cr,"2,185 sqft",Super Built-up Area,"7,643 /sqft","New Town, Kolkata","East Facing
New town Nearby
+2","Unitech gardens is one of kolkata east's most sought after destination for apartments and this 3 bhk flat in new town is your opportunity to be a part of this community. This property faces the east direction. The flat is over 2185 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and 3 balconies. The property is located on the 3rd floor of a 21 floors tall building. This 1-5 ...",O82570756,"Unitech Gardens, New Town, Kolkata",Unitech Gardens,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Downtown Mall', 'Orchids School', ""St. Xavier's University"", 'Manipal Hospitals', 'Netaji Subhash Airport', 'Sir Gurudas Banerjee Halt']","['Park/Garden,Pool,Main Road,Club,Sea facing,Others']",3 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,3rd   of 21 Floors,1 to 5 Year Old,East
Ganguly 4 Sight Model Town,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ganguly-4-sight-model-town-garia-kolkata-south-972-sq-ft-spid-O81061891,2 BHK Flat,66 Lac,972 sqft,Super Built-up Area,"7,304 /sqft","Garia, Kolkata","Furnished
Swimming Pool Available
+1","Spacious layouts and high-Quality finishes Discover the perfect blend of modern design and functionality in this 4-Year-Old, architect-Designed flat! Fully furnished just 3 years ago, this home boasts high-Quality, trendy interiors that elevate your living experience. Here's what you can expect: Elegant rooftop wardrobes with dressing tables Sleek modular kitchen with top-Tier amenities Functio...",O81061891,"Ganguly 4 Sight Model Town, Garia, Kolkata",Ganguly 4 Sight Model Town,,"['5 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '12 Light', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', '1 Sofa', '1 Microwave']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Gitanjali Metro Station', 'Metropolis Mall', 'State Highway 1', 'B.D.M. International School', 'Jadavpur University', 'Peerless Hospital']","['Pool,Park/Garden,Club,Main Road,Others']",2 Bedrooms,2 Bathrooms,1 Balcony,,4th   of 4 Floors,5 to 10 Year Old,North-West
Unitech Gardens,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-unitech-gardens-new-town-kolkata-east-1464-sq-ft-spid-E81310825,2 BHK Flat,1 Cr,"1,464 sqft",Super Built-up Area,"6,830 /sqft","New Town, Kolkata","North-East Facing
New town Nearby
+2","Unitech gardens is one of the most popular destination for buying apartments/ flats in new town, kolkata east. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is facing the north-East direction. The flat is over 1464 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 6th floor of this 21 floors tal...",E81310825,"Unitech Gardens, New Town, Kolkata",Unitech Gardens,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Downtown Mall', 'Orchids School', ""St. Xavier's University"", 'Manipal Hospitals', 'Netaji Subhash Airport', 'Sir Gurudas Banerjee Halt']","['Pool,Park/Garden,Club,Main Road,Others,Sea facing']",2 Bedrooms,2 Bathrooms,2 Balconies,Others,6th   of 21 Floors,1 to 5 Year Old,North-East
On Request New,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-madurdaha-kolkata-south-1320-sq-ft-spid-C82551148,3 BHK Flat,70 Lac,"1,320 sqft",Super Built-up Area,"5,303 /sqft","Madurdaha, EM Bypass, Kolkata South","Kavi Sukanto within 500m
Birla High school within 1km
+1","Car parking extra 5lacs. This 3 bhk apartment is available for sale in on request, one of the most prominent projects for flats in madurdaha, kolkata south. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1320 sq.Ft. The residential building has 3 floors in total and the flat for sale is located on the ...",C82551148,"On Request New, Madurdaha, EM Bypass, Kolkata South",,,"['3 Fan', '1 Exhaust Fan', '11 Light', '1 AC', '1 Modular Kitchen', '1 Curtains']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Old Radha Krishna Temple', 'Lord Shiva Temple']",['Main Road'],3 Bedrooms,2 Bathrooms,2 Balconies,Others,1st   of 3 Floors,1 to 5 Year Old,South-East
Alcove New Kolkata Prayag,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-alcove-new-kolkata-prayag-serampore-hooghly-1040-sq-ft-spid-T83534334,3 BHK Flat,52 Lac,"1,040 sqft",Super Built-up Area,"5,000 /sqft","Serampore, Hooghly","Dakhineswar within 3km
Chatanya public school within 1.5km
+2",Premium ganga view flat with south east open view including a car parking with all newly constructed furniture and paint in an affordable price for limited time.,T83534334,"Alcove New Kolkata Prayag, Serampore, Hooghly",Alcove New Kolkata Prayag,,"['3 Wardrobe', '3 Bed', '6 Light']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",[],['Sea facing'],3 Bedrooms,2 Bathrooms,1 Balcony,Others,23rd   of 26 Floors,0 to 1 Year Old,South-East
Bhawani Courtyard,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhawani-courtyard-madhyamgram-kolkata-north-1054-sq-ft-spid-P82577102,2 BHK Flat,58 Lac,"1,054 sqft",Super Built-up Area,"5,502 /sqft","Madhyamgram, Kolkata","Top Floor
Fresh Construction
+2",2bhk south facing premium flat available for sale,P82577102,"Bhawani Courtyard, Madhyamgram, Kolkata",Bhawani Courtyard,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Noapara metro station', 'Star Mall', 'Asian Highway (NH 12)', 'Delhi Public International School', 'Rabindra Bharti University W.B']","['Main Road,Park/Garden,Pool']",2 Bedrooms,2 Bathrooms,1 Balcony,,6th   of 6 Floors,0 to 1 Year Old,South
Bhawani Courtyard,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhawani-courtyard-madhyamgram-kolkata-north-1056-sq-ft-spid-I82831786,2 BHK Flat,53 Lac,"1,056 sqft",Super Built-up Area,"5,018 /sqft","Madhyamgram, Kolkata","East Facing
Top Floor
+2",2 bhk east facing premium flat available for sale in bhawani courtyard near airport,I82831786,"Bhawani Courtyard, Madhyamgram, Kolkata",Bhawani Courtyard,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Noapara metro station', 'Star Mall', 'Asian Highway (NH 12)', 'Delhi Public International School', 'Rabindra Bharti University W.B']","['Pool,Main Road,Club']",2 Bedrooms,2 Bathrooms,1 Balcony,,6th   of 6 Floors,0 to 1 Year Old,East
Bhawani Courtyard,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhawani-courtyard-madhyamgram-kolkata-north-1023-sq-ft-spid-F82577044,2 BHK Flat,53 Lac,"1,023 sqft",Super Built-up Area,"5,180 /sqft","Madhyamgram, Kolkata","North Facing
Fresh Construction
+2",2bhk temple facing flat available for sale in bhawani courtyard,F82577044,"Bhawani Courtyard, Madhyamgram, Kolkata",Bhawani Courtyard,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Noapara metro station', 'Star Mall', 'Asian Highway (NH 12)', 'Delhi Public International School', 'Rabindra Bharti University W.B']","['Main Road,Park/Garden']",2 Bedrooms,2 Bathrooms,1 Balcony,,5th   of 6 Floors,0 to 1 Year Old,North
Merlin Oikyo,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-merlin-oikyo-baruipur-kolkata-south-1108-sq-ft-spid-S82368858,3 BHK Flat,43 Lac,"1,108 sqft",Super Built-up Area,"3,880 /sqft","Baruipur, Kolkata South","East Facing
Private Garden
+2","Check out this 3 bhk apartment for sale in merlin oikyo, a popular residential project that houses in-Demand flats in baruipur, kolkata south. The flat is facing the east direction. The flat occupies a super built up area of 1108 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The property is located on the 2nd floor of a 4 floors tall building. This is a ready to move project an...",S82368858,"Merl Oikyo, Baruipur, Kolkata South",Merlin Oikyo,,[],"['Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Wood Square Mall', 'Kulpi Road', 'Welkin National School', 'Gargi Memorial Institute of Technology', 'Baruipur Super Speciality Hospital']","['Club,Main Road,Pool']",3 Bedrooms,2 Bathrooms,1 Balcony,Store Room,2nd   of 4 Floors,0 to 1 Year Old,East
Mayfair Platinum,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mayfair-platinum-baruipur-kolkata-south-820-sq-ft-spid-W82346434,2 BHK Flat,37 Lac,820 sqft,Super Built-up Area,"4,512 /sqft","Baruipur, Kolkata South","North Facing
Private Garden
+2","This lovely 2 bhk apartment/flat in baruipur is available for sale in one of kolkata south's most popular projects, mayfair platinum. This is a north-Facing property. The flat occupies a super built up area of 820 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The flat has a total of 4 floors and this property is situated on 2nd floor. As the project is already ready to move, so...",W82346434,"Mayfair Platum, Baruipur, Kolkata South",Mayfair Platinum,,[],"['Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Indira Das School', 'Holy Cross School', 'Gazi Babar Majar', 'Antara Hospital', 'Baruipur Super Speciality Hospital', 'BANDHAN BANK']","['Pool,Park/Garden,Main Road,Club']",2 Bedrooms,2 Bathrooms,1 Balcony,Store Room,2nd   of 4 Floors,1 to 5 Year Old,North
Primarc Southwinds,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-primarc-southwinds-em-bypass-kolkata-south-1264-sq-ft-spid-N83199972,3 BHK Flat,75 Lac,"1,264 sqft",Super Built-up Area,"5,933 /sqft","EM Bypass, Kolkata South","Shahid Khudiram metro Nearby
Schools are Nearby
+2","This 3 bhk flat is located in primarc southwinds, which houses some of the most spacious flats in em bypass, kolkata south. The flat is facing the south-East direction. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 1264 sq.Ft. The flat has a total of 15 floors and this property is situated on 7th floor. This 0-1 year old property is availa...",N83199972,"Primarc Southwds, EM Bypass, Kolkata South",Primarc Southwinds,,"['1 Wardrobe', '4 Fan', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['GALLERIA', 'Swarnim International School', 'Jadavpur University', 'IRIS Multisoeciality Hospital', 'Netaji Subhash Chandra Bose Intl Airport']","['Park/Garden,Others']",3 Bedrooms,2 Bathrooms,1 Balcony,,8th   of 15 Floors,0 to 1 Year Old,South-East
Purbasha Apartment,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-south-dumdum-kolkata-north-500-sq-ft-spid-B82779754,1 BHK Flat,18 Lac,500 sqft,Carpet Area,"3,600 /sqft","South Dumdum, Kolkata",Ground Floor,"This location is very well connected being just at 5 minutes waking distance from the dumdum metro station. The apartment is very spacious and its on the ground floor, in a peaceful locality.",,,,,[],[],[],[],0,0,0,,0,,
Hiland Park,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-hiland-park-em-bypass-kolkata-south-4500-sq-ft-spid-M81888442,4 BHK Flat,3 Cr,"4,500 sqft",Super Built-up Area,"6,666 /sqft","EM Bypass, Kolkata South","Club/ Community Center
Swimming Pool Available
+1","This 4 bhk apartment is available for sale in hiland park, one of the most prominent projects for flats in em bypass, kolkata south. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 4500 sq.Ft. This flat is situated on the 22nd floor of this 27 floors tall residential building. As the project is already ...",M81888442,"Hiland Park, EM Bypass, Kolkata South",Hiland Park,,"['1 Wardrobe', '1 Bed', '1 Fan', '1 Geyser', '1 Light', '1 AC', '1 TV']","['Lift(s)', 'Swimming Pool', 'Park', 'Club house / Community Center', 'Rain Water Harvesting']","['Kavi subhash metro station', 'Shahid khudiram metro station', 'Lake Pally Shiv Mandir', 'Hanuman Mandir', 'Kali Mandir']",[],4 Bedrooms,4 Bathrooms,3 Balconies,,22nd   of 27 Floors,5 to 10 Year Old,North-West
The Orchid Grandeur,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-the-orchid-grandeur-rajarhat-kolkata-east-890-sq-ft-spid-M82673512,2 BHK Flat,38 Lac,890 sqft,Carpet Area,"4,269 /sqft","Rajarhat, Kolkata","Overlooking Park/Garden
Overlooking Main Road
+2",The orchid grandeur good property 2bhk in rajarhat kolkata east,M82673512,"The Orchid Grandeur, Rajarhat, Kolkata",The Orchid Grandeur,,[],"['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","['The Ivy Mall', 'Denovo Institute Of Education', 'Basina Free Primary School', 'Ghosh Bari', 'Lotus Hospital', 'Ohio Hospital']","['Pool,Club,Main Road,Park/Garden']",2 Bedrooms,2 Bathrooms,1 Balcony,,4th   of 5 Floors,1 to 5 Year Old,South-West
